filename,class_normal,class_relax,class_frametime
REPLAYDATA_45940895bbef5f9218248eb0f682757d.npy,1,0,0
REPLAYDATA_cbab4ab1e055cc22f3592412797ba020.npy,1,0,0
REPLAYDATA_c1ac78d74c296359cc8f0f7d8f2b4bfb.npy,1,0,0
REPLAYDATA_96e71861dd1a64c47fb105bde7d888f3.npy,1,0,0
REPLAYDATA_deffccc42a6f0c7048c4cb302287b01b.npy,1,0,0
REPLAYDATA_0886aae69b96b14f06cde21a07b88463.npy,1,0,0
REPLAYDATA_c56836df347b5d7bc3ca626a4d10f065.npy,1,0,0
REPLAYDATA_bf8e741e71706c953b47bc61e7bf9e47.npy,1,0,0
REPLAYDATA_bf27bd84f261829d933fa60afdcc4867.npy,1,0,0
REPLAYDATA_cc3ac800ed14b7f9ecac076cb86add21.npy,1,0,0
REPLAYDATA_883d27306438bba0cca975e3f3a428df.npy,1,0,0
REPLAYDATA_508d68273f4b385b26240ce81796e38b.npy,1,0,0
REPLAYDATA_c93968d70d1753206cb89b35f7448912.npy,1,0,0
REPLAYDATA_749cb5cea0d63e3fa90ec2981471ba87.npy,1,0,0
REPLAYDATA_e96da15055c5dddc0cd55ea12f2ef874.npy,1,0,0
REPLAYDATA_c2a03f8ff48a568875baf7a400b6587e.npy,1,0,0
REPLAYDATA_4602cbe55db299a62e9a3817b946ec99.npy,1,0,0
REPLAYDATA_d172d0ea9f43fcf8e10fc58835aaf78f.npy,1,0,0
REPLAYDATA_d3997c22ac6cc274882e28a84c51f128.npy,1,0,0
REPLAYDATA_e1c974c3041b011534dbe9047a655a91.npy,1,0,0
REPLAYDATA_48519dbcb5ab379c6ff1da8df5ce1ee3.npy,1,0,0
REPLAYDATA_aad57606d46360453e4d61bdb8bc3f8c.npy,1,0,0
REPLAYDATA_455ad77815c8a01945e98a9fc81919e5.npy,1,0,0
REPLAYDATA_ac2c1c6a7f7353908156f47890c17c18.npy,1,0,0
REPLAYDATA_63da8038860d7ee057ccd8a04d3ebb5a.npy,1,0,0
REPLAYDATA_b2d7349e6e5725f222d3afa9ce1ae84e.npy,1,0,0
REPLAYDATA_fd5c48763effb34fa4a996b848e691b2.npy,1,0,0
REPLAYDATA_656adbf0e45eb0077e1796297143ce36.npy,1,0,0
REPLAYDATA_25284264d05dfb233a6865db3bc9ae0b.npy,1,0,0
REPLAYDATA_e943732affd86c483de755ac47686172.npy,1,0,0
REPLAYDATA_cb104a03f5b3a9bce346e3d0fbc3a936.npy,1,0,0
REPLAYDATA_cb50dc5853c7dead5437067699bbe28b.npy,1,0,0
REPLAYDATA_140a98eeb1d4ffb5271c6eb30fc19134.npy,1,0,0
REPLAYDATA_d45b1b5f7ce84d5f20e522717bddfbb4.npy,1,0,0
REPLAYDATA_3226eac0a660be98dc0a6b43f37fe189.npy,1,0,0
REPLAYDATA_f3fe1592467324cb5e57ad7d86c280c5.npy,1,0,0
REPLAYDATA_b5249d46d579c2328c7e877a5e712ccb.npy,1,0,0
REPLAYDATA_88e7df9202e31c20d7d068c2786d1196.npy,1,0,0
REPLAYDATA_dda1650430cdf96b653a826df3eb3b34.npy,1,0,0
REPLAYDATA_239f96f4c876c63cd9b619fe4ba0e2c0.npy,1,0,0
REPLAYDATA_f7ee1b730948aa00e5441b162fedddaa.npy,1,0,0
REPLAYDATA_c59d6320346ab569d2872770402b2bf8.npy,1,0,0
REPLAYDATA_ede5ae29889d77696a633e7f43b5c204.npy,1,0,0
REPLAYDATA_f26985441000c68d86123bf5fcb25460.npy,1,0,0
REPLAYDATA_f87b395615b0596ceb34beb027b74f96.npy,1,0,0
REPLAYDATA_540f047261121703dae9216c5bbd755c.npy,1,0,0
REPLAYDATA_c632cd0148999b0a1db20f6bd4df5c21.npy,1,0,0
REPLAYDATA_370115e3ca3e4397f58fe44928d8a6d7.npy,1,0,0
REPLAYDATA_d33b74ef74e03e27fdd9d37545425730.npy,1,0,0
REPLAYDATA_98e8478210bbfd3074618820e84fd2a2.npy,1,0,0
REPLAYDATA_5485fafaec4c1ba58d7924a06c296346.npy,1,0,0
REPLAYDATA_f19687e01234bf880918bbb6ad083841.npy,1,0,0
REPLAYDATA_88f989eb80d99d3ee4dc5ec187e5935b.npy,1,0,0
REPLAYDATA_235633d40e4addd7ded125915dd38464.npy,1,0,0
REPLAYDATA_10492b72de8fc59c6d23bb2d19eb7a10.npy,1,0,0
REPLAYDATA_458d8d4daa96d2aeb23b374946096068.npy,1,0,0
REPLAYDATA_90f762e884914079296e18dedca7ea2e.npy,1,0,0
REPLAYDATA_07085c3d03008bde28b65eac8596778a.npy,1,0,0
REPLAYDATA_f7ddf2efb07efd6d3b675647516e6088.npy,1,0,0
REPLAYDATA_d86d9d4e3a852814c906fbad08dc222e.npy,1,0,0
REPLAYDATA_e7bff541336c223929ca14c9f7f953c0.npy,1,0,0
REPLAYDATA_c6882ce4e5ae8581edd7feb8bc04cb83.npy,1,0,0
REPLAYDATA_f6affc16894f3384078edfd6d4b368b9.npy,1,0,0
REPLAYDATA_c06c4e34bade11ceb79c4db8ccb954da.npy,1,0,0
REPLAYDATA_dec4cdbae6c6b7595697003e1b9e7625.npy,1,0,0
REPLAYDATA_e13bd690e5f2ac97c5a7c11b930fffa0.npy,1,0,0
REPLAYDATA_ce21cc86f30f968d4c720dbb6e58de05.npy,1,0,0
REPLAYDATA_f72c8c2542052b1a96c685fd9d143c0c.npy,1,0,0
REPLAYDATA_a739be2658baa4a94ea4b6bdcddb29b7.npy,1,0,0
REPLAYDATA_d72c3bf47f8d7f807574414e1b2cd4d6.npy,1,0,0
REPLAYDATA_7949bd9fa8bfce4691795f06ae6bf1d9.npy,1,0,0
REPLAYDATA_8443972e06f2205d955e1cba6fb1e4ec.npy,1,0,0
REPLAYDATA_a8eafb10513523c7b0524bf94616a703.npy,1,0,0
REPLAYDATA_e8db153fbd2264ab6af2520fc18649ac.npy,1,0,0
REPLAYDATA_fd5b22e7ee291b2fdce4b4f801c13eff.npy,1,0,0
REPLAYDATA_760c711259e7e366ff5f9e30f7867bcf.npy,1,0,0
REPLAYDATA_694b4a6faba5c5b6eb891eb692c7a80b.npy,1,0,0
REPLAYDATA_79c0abf3552826670337d2c49b8a76fe.npy,1,0,0
REPLAYDATA_b2165e8482fc30771d80d19f28c8dcad.npy,1,0,0
REPLAYDATA_eff764dd443ae89eb5eb3b3493831df7.npy,1,0,0
REPLAYDATA_486658f263be0416ea2f964b16885307.npy,1,0,0
REPLAYDATA_f23f87548d228275f2f2091fd7823b97.npy,1,0,0
REPLAYDATA_767963cfe7f7baddd06a20637fd01e64.npy,1,0,0
REPLAYDATA_177b9d129936546aa849a204c396535f.npy,1,0,0
REPLAYDATA_148cfd635535a1727f4a8b92d78f93ad.npy,1,0,0
REPLAYDATA_ed00509bd693ee501ef1b48bff8e7a75.npy,1,0,0
REPLAYDATA_c79ce049d8a4596e77455240ca01647d.npy,1,0,0
REPLAYDATA_96225cfc761746fa42b2a05452a1bfeb.npy,1,0,0
REPLAYDATA_91c2af92b4f742e00adbdef4dd08a696.npy,1,0,0
